,parent,time,variable,n_colonies_prev
1,1,4,V6,0.88
2,1,4,V7,0.92
3,1,4,V8,0.87
4,1,4,V10,0
5,1,4,V5,1
6,1,4,V9,0
7,1,4,V2,1
8,1,4,V3,1
9,1,4,V1,1
10,1,4,V4,1
11,1,48,V6,0.99
12,1,48,V7,0.99
13,1,48,V8,1
14,1,48,V10,0
15,1,48,V5,1
16,1,48,V9,0
17,1,48,V2,1
18,1,48,V3,1
19,1,48,V1,1
20,1,48,V4,1
21,1,96,V6,0.96
22,1,96,V7,1
23,1,96,V8,1
24,1,96,V10,0
25,1,96,V5,1
26,1,96,V9,0
27,1,96,V2,1
28,1,96,V3,1
29,1,96,V1,1
30,1,96,V4,1
31,1,288,V6,0.8
32,1,288,V7,1
33,1,288,V8,1
34,1,288,V10,0
35,1,288,V5,1
36,1,288,V9,0
37,1,288,V2,1
38,1,288,V3,1
39,1,288,V1,1
40,1,288,V4,1
41,1,384,V6,1
42,1,384,V7,1
43,1,384,V8,0.98
44,1,384,V10,0
45,1,384,V5,1
46,1,384,V9,0
47,1,384,V2,1
48,1,384,V3,1
49,1,384,V1,1
50,1,384,V4,1
51,2,4,V6,0
52,2,4,V7,0.01
53,2,4,V8,0
54,2,4,V10,0.65
55,2,4,V5,0
56,2,4,V9,1
57,2,4,V2,0
58,2,4,V3,0
59,2,4,V1,0
60,2,4,V4,0
61,2,48,V6,0.03
62,2,48,V7,0.19
63,2,48,V8,0.01
64,2,48,V10,0.38
65,2,48,V5,0.16
66,2,48,V9,1
67,2,48,V2,0.43
68,2,48,V3,0
69,2,48,V1,0
70,2,48,V4,0
71,2,96,V6,0
72,2,96,V7,0.51
73,2,96,V8,0.01
74,2,96,V10,0
75,2,96,V5,0.51
76,2,96,V9,1
77,2,96,V2,0.39
78,2,96,V3,0
79,2,96,V1,0
80,2,96,V4,0
81,2,288,V6,0.01
82,2,288,V7,0.15
83,2,288,V8,0.16
84,2,288,V10,0
85,2,288,V5,0.91
86,2,288,V9,1
87,2,288,V2,0.81
88,2,288,V3,0
89,2,288,V1,0
90,2,288,V4,0
91,2,384,V6,0.19
92,2,384,V7,0.36
93,2,384,V8,0
94,2,384,V10,0
95,2,384,V5,0.86
96,2,384,V9,1
97,2,384,V2,0.85
98,2,384,V3,0
99,2,384,V1,0
100,2,384,V4,0
