"","pig","parent_strain","time","name","sum_prop"
"1",1,1,0,"SCCmec",1
"2",1,1,0,"p4",0
"3",1,1,0,"phi6",1
"4",1,1,0,"SaPI",1
"5",1,1,0,"Tn916",1
"6",1,1,0,"phi2",1
"7",1,1,0,"p1",1
"8",1,1,0,"p2",1
"9",1,1,0,"p3",1
"10",1,1,0,"phi3",0
"11",1,1,4,"SCCmec",1
"12",1,1,4,"p4",0
"13",1,1,4,"phi6",1
"14",1,1,4,"SaPI",1
"15",1,1,4,"Tn916",1
"16",1,1,4,"phi2",1
"17",1,1,4,"p1",0.85
"18",1,1,4,"p2",0.95
"19",1,1,4,"p3",0.8
"20",1,1,4,"phi3",0
"21",1,1,48,"SCCmec",1
"22",1,1,48,"p4",0
"23",1,1,48,"phi6",1
"24",1,1,48,"SaPI",1
"25",1,1,48,"Tn916",1
"26",1,1,48,"phi2",1
"27",1,1,48,"p1",1
"28",1,1,48,"p2",0.95
"29",1,1,48,"p3",1
"30",1,1,48,"phi3",0
"31",1,1,72,"SCCmec",1
"32",1,1,72,"p4",0
"33",1,1,72,"phi6",1
"34",1,1,72,"SaPI",1
"35",1,1,72,"Tn916",1
"36",1,1,72,"phi2",1
"37",1,1,72,"p1",0.85
"38",1,1,72,"p2",1
"39",1,1,72,"p3",1
"40",1,1,72,"phi3",0
"41",1,1,288,"SCCmec",1
"42",1,1,288,"p4",0
"43",1,1,288,"phi6",1
"44",1,1,288,"SaPI",1
"45",1,1,288,"Tn916",1
"46",1,1,288,"phi2",1
"47",1,1,288,"p1",1
"48",1,1,288,"p2",1
"49",1,1,288,"p3",1
"50",1,1,288,"phi3",0
"51",1,1,384,"SCCmec",1
"52",1,1,384,"p4",0
"53",1,1,384,"phi6",1
"54",1,1,384,"SaPI",1
"55",1,1,384,"Tn916",1
"56",1,1,384,"phi2",1
"57",1,1,384,"p1",1
"58",1,1,384,"p2",1
"59",1,1,384,"p3",1
"60",1,1,384,"phi3",0
"61",1,2,0,"SCCmec",0
"62",1,2,0,"p4",1
"63",1,2,0,"phi6",0
"64",1,2,0,"SaPI",0
"65",1,2,0,"Tn916",0
"66",1,2,0,"phi2",0
"67",1,2,0,"p1",0
"68",1,2,0,"p2",0
"69",1,2,0,"p3",0
"70",1,2,0,"phi3",1
"71",1,2,4,"SCCmec",0
"72",1,2,4,"p4",0.3
"73",1,2,4,"phi6",0
"74",1,2,4,"SaPI",0
"75",1,2,4,"Tn916",0
"76",1,2,4,"phi2",0
"77",1,2,4,"p1",0
"78",1,2,4,"p2",0.05
"79",1,2,4,"p3",0
"80",1,2,4,"phi3",1
"81",1,2,48,"SCCmec",0
"82",1,2,48,"p4",0.5
"83",1,2,48,"phi6",0.65
"84",1,2,48,"SaPI",0
"85",1,2,48,"Tn916",0
"86",1,2,48,"phi2",0.65
"87",1,2,48,"p1",0.05
"88",1,2,48,"p2",0.75
"89",1,2,48,"p3",0
"90",1,2,48,"phi3",1
"91",1,2,72,"SCCmec",0
"92",1,2,72,"p4",0
"93",1,2,72,"phi6",0.45
"94",1,2,72,"SaPI",0
"95",1,2,72,"Tn916",0
"96",1,2,72,"phi2",0.55
"97",1,2,72,"p1",0
"98",1,2,72,"p2",0.75
"99",1,2,72,"p3",0
"100",1,2,72,"phi3",1
"101",1,2,288,"SCCmec",0
"102",1,2,288,"p4",0
"103",1,2,288,"phi6",0.6
"104",1,2,288,"SaPI",0
"105",1,2,288,"Tn916",0
