"","time","name","value","parent","lim","limparent"
"1",4,"total_p1_min",50,"1","min","1min"
"2",4,"total_p1_max",10000,"1","max","1max"
"3",4,"total_p2_min",50,"2","min","2min"
"4",4,"total_p2_max",10000,"2","max","2max"
"5",48,"total_p1_min",10000,"1","min","1min"
"6",48,"total_p1_max",1e+06,"1","max","1max"
"7",48,"total_p2_min",10000,"2","min","2min"
"8",48,"total_p2_max",1e+06,"2","max","2max"
"9",96,"total_p1_min",1e+05,"1","min","1min"
"10",96,"total_p1_max",1e+08,"1","max","1max"
"11",96,"total_p2_min",1e+05,"2","min","2min"
"12",96,"total_p2_max",1e+08,"2","max","2max"
"13",288,"total_p1_min",1e+05,"1","min","1min"
"14",288,"total_p1_max",1e+08,"1","max","1max"
"15",288,"total_p2_min",1e+05,"2","min","2min"
"16",288,"total_p2_max",1e+08,"2","max","2max"
"17",384,"total_p1_min",1e+05,"1","min","1min"
"18",384,"total_p1_max",1e+08,"1","max","1max"
"19",384,"total_p2_min",1e+05,"2","min","2min"
"20",384,"total_p2_max",1e+08,"2","max","2max"
