"","mu","gamma","f","grow","rel_fit"
"1",0.01,1e-08,1e-06,0.17,0.99
"2",0.01,1e-08,1e-06,0.17,0.99
"3",0.00999999999999999,9.99999992015545e-09,9.99999999996585e-07,0.17,0.99
"4",0.00999999999999989,9.99999984475486e-09,9.99999999855446e-07,0.17,0.99
"5",0.00999999999999989,9.99999989315846e-09,9.99999999807741e-07,0.17,0.99
"6",0.0099999999999998,9.99999976983952e-09,9.99999999884848e-07,0.17,0.99
"7",0.00999999999999983,9.99999978874382e-09,9.99999999687487e-07,0.17,0.99
"8",0.00999999999999986,9.99999993486478e-09,9.99999999736593e-07,0.17,0.99
"9",0.00999999999999993,1.00000000669467e-08,9.99999999830538e-07,0.17,0.99
"10",0.0100000000000002,9.99999994129226e-09,9.99999999839688e-07,0.17,0.99
"11",0.0100000000000002,9.99999993068291e-09,9.99999999861419e-07,0.17,0.99
"12",0.0100000000000003,9.99999992792479e-09,9.99999999865714e-07,0.17,0.99
"13",0.0100000000000002,9.99999991727128e-09,9.99999999804249e-07,0.17,0.99
"14",0.0100000000000001,9.99999976236541e-09,9.99999999920299e-07,0.17,0.99
"15",0.00999999999999995,9.99999988217644e-09,9.99999999790559e-07,0.17,0.99
"16",0.01,9.99999974788313e-09,9.99999999650189e-07,0.17,0.99
"17",0.01,9.99999974788313e-09,9.99999999650189e-07,0.17,0.99
"18",0.0100000000000001,9.99999968357461e-09,9.99999999629116e-07,0.17,0.99
"19",0.0100000000000001,9.99999971807293e-09,9.99999999686573e-07,0.17,0.99
"20",0.0100000000000002,9.99999960250536e-09,9.99999999459318e-07,0.17,0.99
"21",0.0100000000000003,9.99999959394482e-09,9.99999999542047e-07,0.17,0.99
"22",0.0100000000000004,9.99999966386227e-09,9.99999999523651e-07,0.17,0.99
"23",0.0100000000000004,9.99999965967206e-09,9.99999999385948e-07,0.17,0.99
"24",0.0100000000000002,9.99999970954985e-09,9.99999999394176e-07,0.17,0.99
"25",0.0100000000000003,9.99999949498026e-09,9.99999999489641e-07,0.17,0.99
"26",0.0100000000000004,9.999999536188e-09,9.99999999533196e-07,0.17,0.99
"27",0.0100000000000004,9.99999951414324e-09,9.99999999370502e-07,0.17,0.99
"28",0.0100000000000003,9.99999964645261e-09,9.99999999174862e-07,0.17,0.99
"29",0.0100000000000002,9.99999973355286e-09,9.99999999247216e-07,0.17,0.99
"30",0.0100000000000003,9.99999963897217e-09,9.99999999198996e-07,0.17,0.99
"31",0.0100000000000002,9.99999968577249e-09,9.99999999286565e-07,0.17,0.99
"32",0.0100000000000004,9.99999979817777e-09,9.99999999392342e-07,0.17,0.99
"33",0.0100000000000004,9.99999988811263e-09,9.99999999476154e-07,0.17,0.99
"34",0.0100000000000005,9.99999985815849e-09,9.99999999555395e-07,0.17,0.99
"35",0.0100000000000004,9.99999981485930e-09,9.99999999438232e-07,0.17,0.99
"36",0.0100000000000005,9.99999982863647e-09,9.99999999557955e-07,0.17,0.99
"37",0.0100000000000006,9.99999976078766e-09,9.9999999966866e-07,0.17,0.99
"38",0.0100000000000007,9.99999985608151e-09,9.99999999563564e-07,0.17,0.99
"39",0.0100000000000007,1.00000000519279e-08,9.99999999603858e-07,0.17,0.99
"40",0.0100000000000007,1.00000000404109e-08,9.99999999654218e-07,0.17,0.99
"41",0.0100000000000006,1.00000000330534e-08,9.99999999710703e-07,0.17,0.99
"42",0.0100000000000006,1.00000001448316e-08,9.99999999683478e-07,0.17,0.99
"43",0.0100000000000006,1.00000001600755e-08,9.99999999638739e-07,0.17,0.99
"44",0.0100000000000005,1.00000001794127e-08,9.99999999560049e-07,0.17,0.99
"45",0.0100000000000006,1.00000001845058e-08,9.99999999557059e-07,0.170000000000001,0.99
"46",0.0100000000000008,1.00000002961812e-08,9.99999999643513e-07,0.170000000000001,0.99
"47",0.0100000000000007,1.00000003443824e-08,9.99999999455965e-07,0.170000000000001,0.99
"48",0.0100000000000005,1.00000001719837e-08,9.9999999954235e-07,0.17,0.99
"49",0.0100000000000005,1.00000003063947e-08,9.99999999450925e-07,0.17,0.99
"50",0.0100000000000003,1.00000002314201e-08,9.99999999396421e-07,0.17,0.99
"51",0.0100000000000002,1.0000000191418e-08,9.99999999241684e-07,0.17,0.99
"52",0.0100000000000002,1.0000000114948e-08,9.99999999460377e-07,0.17,0.99
"53",0.01,1.00000002817334e-08,9.99999999534705e-07,0.17,0.99
"54",0.01,1.00000001693895e-08,9.99999999454184e-07,0.17,0.989999999999999
"55",0.0100000000000001,1.00000003371057e-08,9.99999999438452e-07,0.17,0.99
"56",0.0100000000000002,1.00000003450591e-08,9.9999999939024e-07,0.17,0.99
"57",0.0100000000000003,1.0000000309458e-08,9.99999999392016e-07,0.17,0.99
"58",0.0100000000000004,1.00000002677674e-08,9.99999999651022e-07,0.17,0.99
"59",0.0100000000000004,1.00000002938838e-08,9.99999999524335e-07,0.17,0.99
"60",0.0100000000000003,1.00000002399642e-08,9.99999999358434e-07,0.17,0.99
"61",0.0100000000000003,1.00000003452206e-08,9.99999999145789e-07,0.17,0.99
"62",0.0100000000000003,1.00000003452206e-08,9.99999999145789e-07,0.17,0.99
"63",0.0100000000000003,1.00000002878937e-08,9.99999999305502e-07,0.17,0.99
"64",0.0100000000000001,1.00000003560799e-08,9.9999999913991e-07,0.17,0.99
"65",0.0100000000000003,1.00000003926588e-08,9.99999999051378e-07,0.17,0.99
"66",0.0100000000000002,1.00000003946493e-08,9.9999999901672e-07,0.17,0.99
"67",0.0100000000000001,1.00000003737966e-08,9.99999998946556e-07,0.17,0.99
"68",0.01,1.00000004095416e-08,9.99999998951034e-07,0.17,0.99
"69",0.01,1.00000002944829e-08,9.99999999232933e-07,0.17,0.99
"70",0.01,1.00000002107781e-08,9.99999999072338e-07,0.17,0.99
"71",0.0100000000000001,1.00000000457152e-08,9.99999999153046e-07,0.17,0.99
"72",0.0100000000000002,1.00000001979514e-08,9.99999999184219e-07,0.17,0.99
"73",0.0100000000000001,1.00000001688249e-08,9.99999999236958e-07,0.17,0.99
"74",0.0100000000000002,1.00000003581513e-08,9.99999999154812e-07,0.17,0.99
"75",0.0100000000000001,1.00000003171981e-08,9.99999999094757e-07,0.17,0.99
"76",0.00999999999999992,1.00000001916526e-08,9.99999999076545e-07,0.17,0.99
"77",0.00999999999999989,1.00000002741286e-08,9.99999999128238e-07,0.17,0.99
"78",0.00999999999999982,1.00000003285612e-08,9.99999999119052e-07,0.17,0.99
"79",0.00999999999999983,1.00000002916219e-08,9.99999999092077e-07,0.17,0.99
"80",0.00999999999999968,1.00000004328337e-08,9.99999999205755e-07,0.170000000000001,0.99
"81",0.00999999999999985,1.00000004650023e-08,9.99999998991573e-07,0.170000000000001,0.99
"82",0.00999999999999989,1.00000004300372e-08,9.99999998950553e-07,0.170000000000001,0.99
"83",0.00999999999999988,1.00000004015766e-08,9.99999998910793e-07,0.170000000000001,0.99
"84",0.0099999999999999,1.00000003025218e-08,9.99999998733859e-07,0.170000000000001,0.99
"85",0.00999999999999986,1.00000003728751e-08,9.99999998616168e-07,0.170000000000001,0.99
"86",0.00999999999999975,1.00000003629082e-08,9.99999998692867e-07,0.170000000000001,0.99
"87",0.00999999999999985,1.0000000389323e-08,9.99999998881963e-07,0.170000000000001,0.99
"88",0.00999999999999979,1.00000003050305e-08,9.99999998937973e-07,0.170000000000001,0.99
"89",0.00999999999999989,1.00000002756661e-08,9.999999988658e-07,0.170000000000001,0.99
"90",0.0099999999999999,1.00000002539871e-08,9.99999998925566e-07,0.170000000000001,0.99
"91",0.00999999999999981,1.00000003319912e-08,9.9999999897972e-07,0.170000000000001,0.99
"92",0.00999999999999992,1.00000003119268e-08,9.99999998947457e-07,0.170000000000001,0.99
"93",0.0100000000000001,1.00000004275108e-08,9.99999998969572e-07,0.17,0.99
"94",0.0100000000000001,1.00000003803786e-08,9.99999998930649e-07,0.17,0.99
"95",0.0100000000000001,1.00000003064089e-08,9.99999998887629e-07,0.17,0.99
"96",0.0100000000000002,1.00000003224287e-08,9.99999998802144e-07,0.17,0.989999999999999
